WORD,COUNT
rt,17591
&,8852
today,5876
great,3977
w,3130
new,2540
day,2288
thanks,2286
us,2262
support,2241
$,2198
house,2056
thank,1993
time,1985
vote,1954
help,1733
join,1695
bill,1621
get,1527
watch,1484
congress,1450
work,1402
proud,1402
need,1399
live,1332
morning,1329
2,1296
see,1287
tonight,1277
state,1264
people,1254
rep,1250
president,1246
act,1241
it's,1215
good,1194
one,1175
last,1164
jobs,1155
i'm,1140
make,1135
happy,1117
#tg4lg,1095
county,1088
via,1085
obama,1076
first,1060
senate,1034
http,1034
meeting,1030
women,1019
like,1012
“,1009
video,1007
1,997
week,944
health,943
go,942
u,940
”,937
please,930
must,915
office,912
read,906
would,889
check,885
national,870
tomorrow,870
tune,840
campaign,835
discuss,829
stop,817
american,816
take,804
%,804
4,803
team,800
honor,793
right,790
year,789
students,782
de,779
honored,775
years,771
talk,762
family,754
families,750
back,748
working,740
care,740
keep,739
talking,739
tax,733
visit,732
know,728
@,726
voted,721
congrats,719
congressman,706
news,705
